flyID,in:H,in:Typology,in:Conf,in:FlC,in:Str,in:Sides,in:MF,out:ApartmentCount,out:SocialCount,out:MidCount,out:FreeCount,out:SocialRatio,out:MidRatio,out:FreeRatio,out:TotalBVO,out:TotalGO,out:Efficiency,out:ParkingRequired,out:GroundFloorBVO,out:FSI,out:GSI,out:TotalPotentialRevenue,out:ResidentialPotentialRevenue,out:ParkingPotentialRevenue,out:TotalCost,out:ResidentialCost,out:ParkingCost,out:ProjectDevelopmentCost,out:UnforseenCost,out:ResidualValue
H30_TypologyI_ConfL_FlCNo_StrMix_SidesNarrow_MFFree,30,I,L,No,Mix,Narrow,Free,72,0,36,36,0,0.5,0.5,6588.45,6023.18,0.91,51,658.84,9.15,0.92,22.734,21.714,1.02,12.436,9.311,0.638,1.492,0.995,10.298
H30_TypologyI_ConfL_FlCNo_StrMix_SidesWide_MFMid,30,I,L,No,Mix,Wide,Mid,72,0,36,36,0,0.5,0.5,6588.45,6023.18,0.91,51,658.84,9.15,0.92,22.734,21.714,1.02,12.436,9.311,0.638,1.492,0.995,10.298
H30_TypologyI_ConfL_FlCNo_StrMix_SidesWide_MFFree,30,I,L,No,Mix,Wide,Free,72,0,36,36,0,0.5,0.5,6588.45,6023.18,0.91,51,658.84,9.15,0.92,22.734,21.714,1.02,12.436,9.311,0.638,1.492,0.995,10.298
H30_TypologyI_ConfL_FlCNo_StrMix_SidesMixed_MFMid,30,I,L,No,Mix,Mixed,Mid,81,0,45,36,0,0.56,0.44,7187.4,6569.78,0.91,56,718.74,9.98,1,24.85,23.73,1.12,13.678,10.242,0.7,1.641,1.094,11.172
H30_TypologyI_ConfL_FlCNo_StrMix_SidesMixed_MFFree,30,I,L,No,Mix,Mixed,Free,81,0,45,36,0,0.56,0.44,7187.4,6569.78,0.91,56,718.74,9.98,1,24.85,23.73,1.12,13.678,10.242,0.7,1.641,1.094,11.172
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesNarrow_MFMid,30,I,S,Yes,Narrow,Narrow,Mid,90,72,18,0,0.8,0.2,0,5880.6,5296.43,0.9,40,588.06,8.17,0.82,17,16.2,0.8,10.867,8.194,0.5,1.304,0.869,6.133
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesNarrow_MFFree,30,I,S,Yes,Narrow,Narrow,Free,90,72,0,18,0.8,0,0.2,5880.6,5296.43,0.9,44,588.06,8.17,0.82,17.62,16.74,0.88,10.93,8.194,0.55,1.312,0.874,6.69
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesWide_MFMid,30,I,S,Yes,Narrow,Wide,Mid,90,72,18,0,0.8,0.2,0,5880.6,5296.43,0.9,40,588.06,8.17,0.82,17,16.2,0.8,10.867,8.194,0.5,1.304,0.869,6.133
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesWide_MFFree,30,I,S,Yes,Narrow,Wide,Free,90,72,0,18,0.8,0,0.2,5880.6,5296.43,0.9,44,588.06,8.17,0.82,17.62,16.74,0.88,10.93,8.194,0.55,1.312,0.874,6.69
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesMixed_MFMid,30,I,S,Yes,Narrow,Mixed,Mid,81,63,18,0,0.78,0.22,0,5390.55,4854.28,0.9,36,539.05,7.49,0.75,15.502,14.782,0.72,9.873,7.449,0.45,1.185,0.79,5.629
H30_TypologyI_ConfS_FlCYes_StrNarrow_SidesMixed_MFFree,30,I,S,Yes,Narrow,Mixed,Free,81,63,0,18,0.78,0,0.22,5390.55,4854.28,0.9,40,539.05,7.49,0.75,16.122,15.322,0.8,9.936,7.449,0.5,1.192,0.795,6.187
H30_TypologyI_ConfS_FlCYes_StrWide_SidesNarrow_MFMid,30,I,S,Yes,Wide,Narrow,Mid,72,18,54,0,0.25,0.75,0,5880.6,5330.18,0.91,40,588.06,8.17,0.82,18.215,17.415,0.8,10.867,8.194,0.5,1.304,0.869,7.348
H30_TypologyI_ConfS_FlCYes_StrWide_SidesNarrow_MFFree,30,I,S,Yes,Wide,Narrow,Free,72,18,0,54,0.25,0,0.75,5880.6,5330.18,0.91,51,588.06,8.17,0.82,20.055,19.035,1.02,11.039,8.194,0.638,1.325,0.883,9.016
H30_TypologyI_ConfS_FlCYes_StrWide_SidesWide_MFMid,30,I,S,Yes,Wide,Wide,Mid,72,36,36,0,0.5,0.5,0,5390.55,4871.15,0.9,36,539.05,7.49,0.75,16.11,15.39,0.72,9.873,7.449,0.45,1.185,0.79,6.237
H30_TypologyI_ConfS_FlCYes_StrWide_SidesWide_MFFree,30,I,S,Yes,Wide,Wide,Free,72,36,0,36,0.5,0,0.5,5390.55,4871.15,0.9,44,539.05,7.49,0.75,17.35,16.47,0.88,9.998,7.449,0.55,1.2,0.8,7.352
H30_TypologyI_ConfS_FlCYes_StrWide_SidesMixed_MFMid,30,I,S,Yes,Wide,Mixed,Mid,63,27,36,0,0.43,0.57,0,4900.5,4429,0.9,33,490.05,6.81,0.68,14.632,13.972,0.66,8.895,6.704,0.412,1.067,0.712,5.737
H30_TypologyI_ConfS_FlCYes_StrWide_SidesMixed_MFFree,30,I,S,Yes,Wide,Mixed,Free,63,27,0,36,0.43,0,0.57,4900.5,4429,0.9,40,490.05,6.81,0.68,15.852,15.052,0.8,9.005,6.704,0.5,1.081,0.72,6.848
