flyID,in:SpanT1,in:SpanT2,in:RijwonenAandeelPlint,in:TypeWoningen,in:SociaalOplossing,in:Verdiepingen,in:Toren1AandeelPlint,in:Toren2AandeelPlint,out:grw,out:socgrw,out:midgrw,out:koopgrw,out:pp,out:socprc,out:midprc,out:koopprc,out:GO,out:GOsoc,out:GOmid,out:GOkoop,out:BVO,out:BVOsoc,out:BVOmid,out:BVOkoop,out:t1bon,out:t2bon,out:Soc49,out:Soc50,out:mid59,out:mid69,out:koop79,out:koop89,out:koop109,out:koop129,out:koop131,out:GGW3LAPP,out:GGW4LAPP,out:WoningenTotaal
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Toren,Vier,half,wonen,11.9,1,3.5,7.4,252.9,27,35,37,17397,3168,5154,9075,24767,4408,7280,13079,1,0,40,24,2,80,30,0,22,33,0,0,2,233
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Drie,commercieel,commercieel,13.3,1.4,3.3,8.6,269.4,35,30,33,19549,4416,4893,10240,27850,6157,6905,14788,3,3,79,12,14,65,0,0,34,51,0,1,0,256
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Drie,commercieel,wonen,12,1.4,3,7.6,246.2,38,29,31,17867,4416,4401,9050,25434,6157,6211,13066,3,0,79,12,12,59,0,0,30,45,0,1,0,238
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Drie,half,commercieel,12.5,1.4,3,8.1,253.5,37,29,33,18462,4416,4401,9645,26295,6157,6211,13927,1,3,79,12,12,59,0,0,32,48,0,1,0,243
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Drie,half,wonen,11,1.4,3,6.6,231.6,39,31,28,16677,4416,4401,7860,23712,6157,6211,11344,1,0,79,12,12,59,0,0,26,39,0,1,0,228
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Vier,commercieel,commercieel,13.8,1.5,3.3,9.1,278.3,35,29,34,20300,4608,4842,10850,28926,6425,6834,15667,3,3,83,12,12,66,0,0,36,54,0,0,1,264
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Vier,commercieel,wonen,12.3,1.5,3.3,7.6,256.4,38,31,30,18515,4608,4842,9065,26343,6425,6834,13084,3,0,83,12,12,66,0,0,30,45,0,0,1,249
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Vier,half,commercieel,12.8,1.5,3.3,8.1,263.7,37,30,31,19110,4608,4842,9660,27204,6425,6834,13945,1,3,83,12,12,66,0,0,32,48,0,0,1,254
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenPortiekAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,PortiekAppartementen,Beneden,Vier,half,wonen,11.5,1.5,3,7.1,240.6,40,29,30,17428,4608,4350,8470,24788,6425,6140,12223,1,0,83,12,10,60,0,0,28,42,0,0,1,236
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Drie,commercieel,commercieel,11.9,1.1,3.4,7.4,270.7,26,33,40,18232,3264,5058,9910,26010,4528,7136,14346,3,3,16,48,18,64,30,0,56,12,0,0,0,244
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Drie,commercieel,wonen,10.9,1,3.2,6.8,245.5,25,35,39,16672,2856,4806,9010,23780,3962,6780,13038,3,0,14,42,18,60,18,0,56,12,0,0,0,220
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Drie,half,commercieel,11.2,1,3.5,6.8,259.6,23,35,40,17210,2856,5184,9170,24554,3962,7314,13278,1,3,14,42,18,66,36,0,52,6,0,0,0,234
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Drie,half,wonen,10.1,1,2.9,6.3,229.6,27,33,39,15585,2856,4314,8415,22225,3962,6086,12177,1,0,14,42,16,54,18,0,54,9,0,0,0,207
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Vier,commercieel,commercieel,13,1.1,3.7,8.2,294.6,24,34,41,19889,3264,5550,11075,28387,4528,7830,16029,3,3,16,48,20,70,30,0,70,9,0,0,0,263
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Vier,commercieel,wonen,12.2,1,3.2,8,268,23,33,43,18432,2856,4806,10770,26324,3962,6780,15582,3,0,14,42,18,60,18,0,72,12,0,0,0,236
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Vier,half,commercieel,12,1.1,3.7,7.2,280,25,35,39,18699,3264,5550,9885,26665,4528,7830,14307,1,3,16,48,20,70,30,0,66,3,0,0,0,253
