flyID;in:A2;in:B2;in:B4;in:TA2high;in:TA2low;in:A1;in:TB1;in:TB3;out:OutTotalOpbrengstenConv;out:OutprofitpercConv;out:OutprofitpercbarsetPlus1;out:OutTotalOpbrengstenbarsetPlus1;out:OutTotalOpbrengstenbarset;out:Outprofitpercbarset;out:OutTotalOpbrengstenbarsetMinus1;out:OutprofitpercbarsetMinus1;out:TotalKosten;out:bouwkosten;out:TotalAptAmount;out:TotalBVOCommercial;out:TotalBVOCarStorage;out:TotalGOSocialSpaces;out:TotalBVOBikeStorage;out:TotalBVOwonen;out:TotalBVOinclloggia;out:TotalBVOexclloggia;out:BVOloggia;out:TotalGO;out:GOBVOratio;out:SStudentperc;out:S2kamerperc;out:S3kamerperc;out:M2kamerperc;out:M3kamerperc;out:M2kamerhperc;out:M3kamerhperc;out:M4kamerhperc;out:V3kamerkperc;out:V4kamerkperc;out:VGGBkperc;out:SStudioperc;out:V5kamerkperc;out:socialperc;out:midperc;out:vrijperc;out:AvgGOSStudent;out:AvgGOS2kamer;out:AvgGOS3kamer;out:AvgGOM2kamer;out:AvgGOM3kamer;out:AvgGOM2kamerh;out:AvgGOM3kamerh;out:AvgGOM4kamerh;out:AvgGOV3kamerk;out:AvgGOV4kamerk;out:AvgGOVGGBk;out:AvgGOSStudio;out:AvgGOV5kamerk;out:socialAvgGO;out:midAvgGO;out:vrijAvgGO;out:parkingsurplus;out:parkingavailable;out:parkingrequired;out:TotalBVOCarParkingSurplus;out:fietssurplus;out:fietsavailable;out:fietsrequired
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p1Vrijk;Mh;Mh;144.3;-10;-87;20.8;21.6;-86;21.8;-86;159.7;101.1;688;4514;15317;271;2060;48026;50369;47485;2884;33639;0.7;27.3;15.3;4.4;0.3;0.6;3.6;8.4;11.5;1.9;4.5;2.3;12.1;7.8;52;24;24;23;40;55;50;49;51;55;65;67;79;157;28;100;31;59;99;55.6;394;338.4;3473;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p1Vrijk;Mh;MVh;144.9;-9;-87;20.8;21.6;-86;21.8;-86;159.9;101.2;688;4514;15317;271;2060;48026;50369;47485;2884;33639;0.7;27.3;15.3;4.4;0.3;0.6;3.6;8.4;8.7;4.7;4.5;2.3;12.1;7.8;51;22;27;23;40;55;50;49;51;55;64;67;79;157;28;100;31;58;96;55.6;394;338.4;3473;152;1956;1804
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p2Vrijk;Mh;Mh;146.3;-9;-87;20.9;21.6;-87;21.9;-86;161.2;102.2;692;4514;15317;271;2060;48580;50923;47999;2924;34073;0.7;27.2;15.2;4.3;0.3;0.6;3.6;8.4;11.4;1.3;5.6;2.3;12;7.8;51;24;25;23;40;55;50;49;51;55;65;66;78;157;28;102;31;59;100;52.4;394;341.6;3361;128;1956;1828
A2375Social_B254Social_B4375Social_TA2highp2Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p2Vrijk;p2Vrijk;p2Vrijk;Mh;MVh;146.8;-9;-87;20.9;21.6;-87;21.9;-86;161.5;102.4;692;4514;15317;271;2060;48580;50923;47999;2924;34073;0.7;27.2;15.2;4.3;0.3;0.6;3.6;8.4;8.7;4;5.6;2.3;12;7.8;51;22;27;23;40;55;50;49;51;55;64;67;78;157;28;102;31;58;96;52.4;394;341.6;3361;128;1956;1828
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;54Social;p1Vrijk;p1Vrijk;p1Vrijk;Mh;Mh;143.7;-12;-87;21.7;21.6;-87;22.7;-86;162.4;103.1;695;4514;15317;271;2060;48226;50569;47465;3104;33472;0.69;20.1;19.7;4.9;0.3;0.6;3.6;8.3;11.4;13.2;4.5;2.3;9.9;1.2;54;24;22;23;39;55;50;49;51;55;65;57;74;157;32;116;33;59;76;18;394;376;2157;200;1982;1782
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;54Social;p1Vrijk;p1Vrijk;p1Vrijk;Mh;MVh;144.3;-11;-87;21.7;21.6;-87;22.7;-86;162.5;103.2;695;4514;15317;271;2060;48226;50569;47465;3104;33472;0.69;20.1;19.7;4.9;0.3;0.6;3.6;8.3;8.6;16;4.5;2.3;9.9;1.2;54;21;25;23;39;55;50;49;51;55;64;59;74;157;32;116;33;58;75;18;394;376;2157;200;1982;1782
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;54Social;p1Vrijk;p1Vrijk;p2Vrijk;Mh;Mh;145.6;-11;-87;21.8;22.6;-86;22.8;-86;163.9;104.2;699;4514;15317;271;2060;48769;51112;47968;3144;33905;0.7;20;19.6;4.9;0.3;0.6;3.6;8.3;11.3;12.6;5.6;2.3;9.9;1.1;54;24;22;23;39;55;50;49;51;55;65;57;74;157;32;128;33;59;78;14.8;394;379.2;2045;176;1982;1806
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;54Social;p1Vrijk;p1Vrijk;p2Vrijk;Mh;MVh;146.2;-11;-87;21.8;22.6;-86;22.8;-86;164;104.3;699;4514;15317;271;2060;48769;51112;47968;3144;33905;0.7;20;19.6;4.9;0.3;0.6;3.6;8.3;8.6;15.3;5.6;2.3;9.9;1.1;54;21;25;23;39;55;50;49;51;55;64;59;74;157;32;128;33;58;77;14.8;394;379.2;2045;176;1982;1806
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;54Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;Mh;144;-11;-87;21.6;21.6;-87;22.6;-86;162.1;102.9;688;4514;15317;271;2060;48230;50573;47497;3076;33527;0.7;20.3;19.9;4.9;0.3;0.6;3.6;8.4;11.5;11.3;4.5;2.3;10;2.2;54;24;22;23;39;55;50;49;51;55;65;60;75;157;32;105;33;59;81;19.6;394;374.4;2213;200;1982;1782
A2375Social_B254Social_B454Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;54Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;MVh;144.5;-11;-87;21.6;21.6;-87;22.6;-86;162.4;103.1;688;4514;15317;271;2060;48230;50573;47497;3076;33527;0.7;20.3;19.9;4.9;0.3;0.6;3.6;8.4;8.7;14.1;4.5;2.3;10;2.2;53;22;25;23;39;55;50;49;51;55;64;61;75;157;32;105;33;58;80;19.6;394;374.4;2213;200;1982;1782
