,flyID,in:PnlWidth,in:SillP,in:SillA,in:OpenEW,in:OpenNS,in:ExtP,in:ExtAEW,in:Mat,in:Glaz,out:CoEqTotal,out:CoEqYear,out:TotalKwh,out:PerMKwh,out:FramesTyp,out:FramesAtyp,out:SpaceInt,out:SpaceExt,out:MinStreefPent,out:MinStreefApt,out:StreefPent,out:StreefApt
43,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,A,Med,Max,Log,Balc,B,B,159800,122990,273311,53.67,308,388,479.72,5092.08,60.1,46.8,25.0,32.5
44,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,A,Med,Max,Log,Log,A,A,129400,144830,321845,64.54,388,388,444.52,4986.48,60.1,53.5,25.7,41.0
45,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,A,Med,Max,Log,Log,A,B,136700,131648,292552,58.67,388,388,444.52,4986.48,60.1,53.5,25.7,41.0
46,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,A,Med,Max,Log,Log,B,A,158300,139412,309804,62.13,388,388,444.52,4986.48,60.1,53.5,25.7,41.0
47,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,A,Med,Max,Log,Log,B,B,165600,126230,280511,56.25,388,388,444.52,4986.48,60.1,53.5,25.7,41.0
48,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,A,Med,Med,Balc,Balc,A,A,126000,137070,304600,59.57,300,388,486.76,5113.2,59.7,46.3,28.4,31.7
49,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,A,Med,Med,Balc,Balc,A,B,132300,125777,279504,54.66,300,388,486.76,5113.2,59.7,46.3,28.4,31.7
50,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,A,Med,Med,Balc,Balc,B,A,152600,132070,293489,57.4,300,388,486.76,5113.2,59.7,46.3,28.4,31.7
51,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,A,Med,Med,Balc,Balc,B,B,158900,120777,268393,52.49,300,388,486.76,5113.2,59.7,46.3,28.4,31.7
52,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,A,Med,Med,Balc,Log,A,A,127400,141120,313600,62.62,380,388,451.56,5007.6,59.8,53.0,27.8,40.3
53,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,A,Med,Med,Balc,Log,A,B,133700,129827,288504,57.61,380,388,451.56,5007.6,59.8,53.0,27.8,40.3
54,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,A,Med,Med,Balc,Log,B,A,158400,135310,300689,60.05,380,388,451.56,5007.6,59.8,53.0,27.8,40.3
55,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,A,Med,Med,Balc,Log,B,B,164700,124017,275593,55.03,380,388,451.56,5007.6,59.8,53.0,27.8,40.3
56,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,A,Med,Med,Log,Balc,A,A,126100,137475,305500,60.0,308,388,479.72,5092.08,57.3,46.1,21.0,32.3
57,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,A,Med,Med,Log,Balc,A,B,132300,126182,280404,55.07,308,388,479.72,5092.08,57.3,46.1,21.0,32.3
58,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,A,Med,Med,Log,Balc,B,A,153100,132394,294209,57.78,308,388,479.72,5092.08,57.3,46.1,21.0,32.3
59,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,A,Med,Med,Log,Balc,B,B,159400,121101,269113,52.85,308,388,479.72,5092.08,57.3,46.1,21.0,32.3
60,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,A,Med,Med,Log,Log,A,A,127500,141525,314500,63.07,388,388,444.52,4986.48,58.0,52.6,21.4,40.3
61,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,A,Med,Med,Log,Log,A,B,133800,130232,289404,58.04,388,388,444.52,4986.48,58.0,52.6,21.4,40.3
62,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,A,Med,Med,Log,Log,B,A,158900,135634,301409,60.45,388,388,444.52,4986.48,58.0,52.6,21.4,40.3
63,PnlWidth22_SillPA_SillAA_OpenEWMed_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,A,Med,Med,Log,Log,B,B,165200,124341,276313,55.41,388,388,444.52,4986.48,58.0,52.6,21.4,40.3
64,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,B,Max,Max,Balc,Balc,A,A,126000,137132,304738,59.6,660,388,486.76,5113.2,65.1,44.3,35.8,12.2
65,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,B,Max,Max,Balc,Balc,A,B,132300,125803,279563,54.67,660,388,486.76,5113.2,65.1,44.3,35.8,12.2
66,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,B,Max,Max,Balc,Balc,B,A,152600,132142,293648,57.43,660,388,486.76,5113.2,65.1,44.3,35.8,12.2
67,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,B,Max,Max,Balc,Balc,B,B,158900,120813,268473,52.51,660,388,486.76,5113.2,65.1,44.3,35.8,12.2
68,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,B,Max,Max,Balc,Log,A,A,127500,141182,313738,62.65,740,388,451.56,5007.6,65.7,50.8,35.3,17.1
69,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,B,Max,Max,Balc,Log,A,B,133800,129853,288563,57.63,740,388,451.56,5007.6,65.7,50.8,35.3,17.1
70,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,B,Max,Max,Balc,Log,B,A,158400,135382,300848,60.08,740,388,451.56,5007.6,65.7,50.8,35.3,17.1
71,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,B,Max,Max,Balc,Log,B,B,164700,124053,275673,55.05,740,388,451.56,5007.6,65.7,50.8,35.3,17.1
72,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,B,Max,Max,Log,Balc,A,A,126100,137537,305638,60.02,668,388,479.72,5092.08,62.7,44.6,29.2,12.5
73,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,B,Max,Max,Log,Balc,A,B,132400,126208,280463,55.08,668,388,479.72,5092.08,62.7,44.6,29.2,12.5
74,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,B,Max,Max,Log,Balc,B,A,153100,132466,294368,57.81,668,388,479.72,5092.08,62.7,44.6,29.2,12.5
75,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,B,Max,Max,Log,Balc,B,B,159400,121137,269193,52.87,668,388,479.72,5092.08,62.7,44.6,29.2,12.5
76,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,B,Max,Max,Log,Log,A,A,127500,141587,314638,63.1,748,388,444.52,4986.48,62.5,51.0,29.1,16.8
77,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,B,Max,Max,Log,Log,A,B,133800,130258,289463,58.05,748,388,444.52,4986.48,62.5,51.0,29.1,16.8
78,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,B,Max,Max,Log,Log,B,A,158900,135706,301568,60.48,748,388,444.52,4986.48,62.5,51.0,29.1,16.8
79,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,B,Max,Max,Log,Log,B,B,165200,124377,276393,55.43,748,388,444.52,4986.48,62.5,51.0,29.1,16.8
80,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,B,Max,Med,Balc,Balc,A,A,124600,134606,299125,58.5,660,388,486.76,5113.2,62.9,43.1,32.1,10.5
81,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,B,Max,Med,Balc,Balc,A,B,130100,124721,277158,54.2,660,388,486.76,5113.2,62.9,43.1,32.1,10.5
82,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,B,Max,Med,Balc,Balc,B,A,153100,129254,287232,56.17,660,388,486.76,5113.2,62.9,43.1,32.1,10.5
83,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,B,Max,Med,Balc,Balc,B,B,158600,119369,265265,51.88,660,388,486.76,5113.2,62.9,43.1,32.1,10.5
84,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,B,Max,Med,Balc,Log,A,A,126000,138656,308125,61.53,740,388,451.56,5007.6,62.2,50.0,32.1,15.3
85,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,B,Max,Med,Balc,Log,A,B,131500,128771,286158,57.14,740,388,451.56,5007.6,62.2,50.0,32.1,15.3
86,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,B,Max,Med,Balc,Log,B,A,158900,132494,294432,58.8,740,388,451.56,5007.6,62.2,50.0,32.1,15.3
87,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,B,Max,Med,Balc,Log,B,B,164400,122609,272465,54.41,740,388,451.56,5007.6,62.2,50.0,32.1,15.3
88,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,B,Max,Med,Log,Balc,A,A,124600,135011,300025,58.92,668,388,479.72,5092.08,60.0,43.3,25.9,10.4
89,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,B,Max,Med,Log,Balc,A,B,130100,125126,278058,54.61,668,388,479.72,5092.08,60.0,43.3,25.9,10.4
90,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,B,Max,Med,Log,Balc,B,A,153600,129578,287952,56.55,668,388,479.72,5092.08,60.0,43.3,25.9,10.4
91,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,B,Max,Med,Log,Balc,B,B,159100,119693,265985,52.24,668,388,479.72,5092.08,60.0,43.3,25.9,10.4
92,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,B,Max,Med,Log,Log,A,A,126100,139061,309025,61.97,748,388,444.52,4986.48,59.9,50.8,25.9,15.4
93,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,B,Max,Med,Log,Log,A,B,131600,129176,287058,57.57,748,388,444.52,4986.48,59.9,50.8,25.9,15.4
94,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,B,Max,Med,Log,Log,B,A,159400,132818,295152,59.19,748,388,444.52,4986.48,59.9,50.8,25.9,15.4
95,PnlWidth22_SillPA_SillAB_OpenEWMax_OpenNSMed_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,B,Max,Med,Log,Log,B,B,164900,122933,273185,54.79,748,388,444.52,4986.48,59.9,50.8,25.9,15.4
96,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,B,Med,Max,Balc,Balc,A,A,124800,135012,300026,58.68,660,388,486.76,5113.2,62.9,40.3,31.7,5.1
97,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,B,Med,Max,Balc,Balc,A,B,130400,124895,277544,54.28,660,388,486.76,5113.2,62.9,40.3,31.7,5.1
98,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,B,Med,Max,Balc,Balc,B,A,153000,129718,288262,56.38,660,388,486.76,5113.2,62.9,40.3,31.7,5.1
99,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,B,Med,Max,Balc,Balc,B,B,158700,119601,265780,51.98,660,388,486.76,5113.2,62.9,40.3,31.7,5.1
100,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,B,Med,Max,Balc,Log,A,A,126300,139062,309026,61.71,740,388,451.56,5007.6,63.0,47.3,31.4,15.3
101,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,B,Med,Max,Balc,Log,A,B,131900,128945,286544,57.22,740,388,451.56,5007.6,63.0,47.3,31.4,15.3
102,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,B,Med,Max,Balc,Log,B,A,158800,132958,295462,59.0,740,388,451.56,5007.6,63.0,47.3,31.4,15.3
103,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,B,Med,Max,Balc,Log,B,B,164400,122841,272980,54.51,740,388,451.56,5007.6,63.0,47.3,31.4,15.3
104,PnlWidth22_SillPA_SillAB_OpenEWMed_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,B,Med,Max,Log,Balc,A,A,124900,135417,300926,59.1,668,388,479.72,5092.08,59.5,39.5,25.1,7.1
